Scientific Name,Common Name,Count
Tinamus tao,Gray Tinamou,0.0
Tinamus major,Great Tinamou,3.0
Tinamus guttatus,White-throated Tinamou,0.0
Crypturellus cinereus,Cinereous Tinamou,93.0
Crypturellus soui,Little Tinamou,3.0
Crypturellus undulatus,Undulated Tinamou,56.0
Crypturellus strigulosus,Brazilian Tinamou,0.0
Crypturellus duidae,Gray-legged Tinamou,0.0
Crypturellus erythropus,Red-legged Tinamou,0.0
Crypturellus atrocapillus,Black-capped Tinamou,0.0
Crypturellus variegatus,Variegated Tinamou,0.0
Crypturellus bartletti,Bartlett's Tinamou,17.0
Crypturellus parvirostris,Small-billed Tinamou,0.0
Rhynchotus rufescens,Red-winged Tinamou,0.0
Anhima cornuta,Horned Screamer,1.0
Dendrocygna viduata,White-faced Whistling-Duck,0.0
Dendrocygna autumnalis,Black-bellied Whistling-Duck,0.0
Oressochen jubatus,Orinoco Goose,0.0
Cairina moschata,Muscovy Duck,0.0
Amazonetta brasiliensis,Brazilian Teal,0.0
Anas platyrhynchos,Mallard,0.0
Ortalis guttata,Speckled Chachalaca,16.0
Ortalis motmot,Variable Chachalaca,0.0
Penelope marail,Marail Guan,0.0
Penelope superciliaris,Rusty-margined Guan,0.0
Penelope jacquacu,Spix's Guan,0.0
Pipile cumanensis,Blue-throated Piping-Guan,0.0
Pipile cujubi,Red-throated Piping-Guan,0.0
Nothocrax urumutum,Nocturnal Curassow,0.0
Mitu tomentosum,Crestless Curassow,0.0
Mitu tuberosum,Razor-billed Curassow,0.0
Crax alector,Black Curassow,0.0
Numida meleagris,Helmeted Guineafowl,0.0
Odontophorus gujanensis,Marbled Wood-Quail,0.0
Odontophorus stellatus,Starred Wood-Quail,0.0
Gallus gallus,Red Junglefowl,0.0
Tachybaptus dominicus,Least Grebe,0.0
Columba livia,Rock Pigeon,0.0
Patagioenas cayennensis,Pale-vented Pigeon,0.0
Patagioenas speciosa,Scaled Pigeon,0.0
Patagioenas picazuro,Picazuro Pigeon,0.0
Patagioenas plumbea,Plumbeous Pigeon,0.0
Patagioenas subvinacea,Ruddy Pigeon,4.0
Columbina passerina,Common Ground Dove,0.0
Columbina minuta,Plain-breasted Ground Dove,0.0
Columbina talpacoti,Ruddy Ground Dove,0.0
